年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
2074,1,1,星期一,2073,腊月,初四,癸巳,蛇,0,甲子,丁亥,,,元旦,,,二九第三天
2074,1,2,星期二,2073,腊月,初五,癸巳,蛇,0,甲子,戊子,,,,,,二九第四天
2074,1,3,星期三,2073,腊月,初六,癸巳,蛇,0,甲子,己丑,,,,,,二九第五天
2074,1,4,星期四,2073,腊月,初七,癸巳,蛇,0,甲子,庚寅,,,,,,二九第六天
2074,1,5,星期五,2073,腊月,初八,癸巳,蛇,0,乙丑,辛卯,小寒,8:05:20,,腊八节,,二九第七天
2074,1,6,星期六,2073,腊月,初九,癸巳,蛇,0,乙丑,壬辰,,,,,,二九第八天
2074,1,7,星期日,2073,腊月,初十,癸巳,蛇,0,乙丑,癸巳,,,,,,二九第九天
2074,1,8,星期一,2073,腊月,十一,癸巳,蛇,0,乙丑,甲午,,,,,,三九第一天
2074,1,9,星期二,2073,腊月,十二,癸巳,蛇,0,乙丑,乙未,,,,,,三九第二天
2074,1,10,星期三,2073,腊月,十三,癸巳,蛇,0,乙丑,丙申,,,,,,三九第三天
2074,1,11,星期四,2073,腊月,十四,癸巳,蛇,0,乙丑,丁酉,,,,,,三九第四天
2074,1,12,星期五,2073,腊月,十五,癸巳,蛇,0,乙丑,戊戌,,,,,,三九第五天
2074,1,13,星期六,2073,腊月,十六,癸巳,蛇,0,乙丑,己亥,,,,,,三九第六天
2074,1,14,星期日,2073,腊月,十七,癸巳,蛇,0,乙丑,庚子,,,,,,三九第七天
2074,1,15,星期一,2073,腊月,十八,癸巳,蛇,0,乙丑,辛丑,,,,,,三九第八天
2074,1,16,星期二,2073,腊月,十九,癸巳,蛇,0,乙丑,壬寅,,,,,,三九第九天
2074,1,17,星期三,2073,腊月,二十,癸巳,蛇,0,乙丑,癸卯,,,,,,四九第一天
2074,1,18,星期四,2073,腊月,廿一,癸巳,蛇,0,乙丑,甲辰,,,,,,四九第二天
2074,1,19,星期五,2073,腊月,廿二,癸巳,蛇,0,乙丑,乙巳,,,,,,四九第三天
2074,1,20,星期六,2073,腊月,廿三,癸巳,蛇,0,乙丑,丙午,大寒,1:33:25,,小年,,四九第四天
2074,1,21,星期日,2073,腊月,廿四,癸巳,蛇,0,乙丑,丁未,,,,,,四九第五天
2074,1,22,星期一,2073,腊月,廿五,癸巳,蛇,0,乙丑,戊申,,,,,,四九第六天
2074,1,23,星期二,2073,腊月,廿六,癸巳,蛇,0,乙丑,己酉,,,,,,四九第七天
2074,1,24,星期三,2073,腊月,廿七,癸巳,蛇,0,乙丑,庚戌,,,,,,四九第八天
2074,1,25,星期四,2073,腊月,廿八,癸巳,蛇,0,乙丑,辛亥,,,,,,四九第九天
2074,1,26,星期五,2073,腊月,廿九,癸巳,蛇,0,乙丑,壬子,,,,除夕,,五九第一天
2074,1,27,星期六,2074,正月,初一,癸巳,蛇,0,乙丑,癸丑,,,,春节,,五九第二天
2074,1,28,星期日,2074,正月,初二,癸巳,蛇,0,乙丑,甲寅,,,,,,五九第三天
2074,1,29,星期一,2074,正月,初三,癸巳,蛇,0,乙丑,乙卯,,,,,,五九第四天
2074,1,30,星期二,2074,正月,初四,癸巳,蛇,0,乙丑,丙辰,,,,,,五九第五天
2074,1,31,星期三,2074,正月,初五,癸巳,蛇,0,乙丑,丁巳,,,,,,五九第六天
2074,2,1,星期四,2074,正月,初六,癸巳,蛇,0,乙丑,戊午,,,,,,五九第七天
2074,2,2,星期五,2074,正月,初七,癸巳,蛇,0,乙丑,己未,,,,,,五九第八天
2074,2,3,星期六,2074,正月,初八,甲午,马,6,丙寅,庚申,立春,19:40:32,,,,五九第九天
2074,2,4,星期日,2074,正月,初九,甲午,马,6,丙寅,辛酉,,,,,,六九第一天
2074,2,5,星期一,2074,正月,初十,甲午,马,6,丙寅,壬戌,,,,,,六九第二天
2074,2,6,星期二,2074,正月,十一,甲午,马,6,丙寅,癸亥,,,,,,六九第三天
2074,2,7,星期三,2074,正月,十二,甲午,马,6,丙寅,甲子,,,,,,六九第四天
2074,2,8,星期四,2074,正月,十三,甲午,马,6,丙寅,乙丑,,,,,,六九第五天
2074,2,9,星期五,2074,正月,十四,甲午,马,6,丙寅,丙寅,,,,,,六九第六天
2074,2,10,星期六,2074,正月,十五,甲午,马,6,丙寅,丁卯,,,,元宵节,,六九第七天
2074,2,11,星期日,2074,正月,十六,甲午,马,6,丙寅,戊辰,,,,,,六九第八天
2074,2,12,星期一,2074,正月,十七,甲午,马,6,丙寅,己巳,,,,,,六九第九天
2074,2,13,星期二,2074,正月,十八,甲午,马,6,丙寅,庚午,,,,,,七九第一天
2074,2,14,星期三,2074,正月,十九,甲午,马,6,丙寅,辛未,,,情人节,,,七九第二天
2074,2,15,星期四,2074,正月,二十,甲午,马,6,丙寅,壬申,,,,,,七九第三天
2074,2,16,星期五,2074,正月,廿一,甲午,马,6,丙寅,癸酉,,,,,,七九第四天
2074,2,17,星期六,2074,正月,廿二,甲午,马,6,丙寅,甲戌,,,,,,七九第五天
2074,2,18,星期日,2074,正月,廿三,甲午,马,6,丙寅,乙亥,雨水,15:31:19,,,,七九第六天
2074,2,19,星期一,2074,正月,廿四,甲午,马,6,丙寅,丙子,,,,,,七九第七天
2074,2,20,星期二,2074,正月,廿五,甲午,马,6,丙寅,丁丑,,,,,,七九第八天
2074,2,21,星期三,2074,正月,廿六,甲午,马,6,丙寅,戊寅,,,,,,七九第九天
2074,2,22,星期四,2074,正月,廿七,甲午,马,6,丙寅,己卯,,,,,,八九第一天
2074,2,23,星期五,2074,正月,廿八,甲午,马,6,丙寅,庚辰,,,,,,八九第二天
2074,2,24,星期六,2074,正月,廿九,甲午,马,6,丙寅,辛巳,,,,,,八九第三天
2074,2,25,星期日,2074,正月,三十,甲午,马,6,丙寅,壬午,,,,,,八九第四天
2074,2,26,星期一,2074,二月,初一,甲午,马,6,丙寅,癸未,,,,,,八九第五天
2074,2,27,星期二,2074,二月,初二,甲午,马,6,丙寅,甲申,,,,龙抬头,,八九第六天
2074,2,28,星期三,2074,二月,初三,甲午,马,6,丙寅,乙酉,,,,,,八九第七天
2074,3,1,星期四,2074,二月,初四,甲午,马,6,丙寅,丙戌,,,,,,八九第八天
2074,3,2,星期五,2074,二月,初五,甲午,马,6,丙寅,丁亥,,,,,,八九第九天
2074,3,3,星期六,2074,二月,初六,甲午,马,6,丙寅,戊子,,,,,,九九第一天
2074,3,4,星期日,2074,二月,初七,甲午,马,6,丙寅,己丑,,,,,,九九第二天
2074,3,5,星期一,2074,二月,初八,甲午,马,6,丁卯,庚寅,惊蛰,13:23:33,,,,九九第三天
2074,3,6,星期二,2074,二月,初九,甲午,马,6,丁卯,辛卯,,,,,,九九第四天
2074,3,7,星期三,2074,二月,初十,甲午,马,6,丁卯,壬辰,,,,,,九九第五天
2074,3,8,星期四,2074,二月,十一,甲午,马,6,丁卯,癸巳,,,妇女节,,,九九第六天
2074,3,9,星期五,2074,二月,十二,甲午,马,6,丁卯,甲午,,,,,,九九第七天
2074,3,10,星期六,2074,二月,十三,甲午,马,6,丁卯,乙未,,,,,,九九第八天
2074,3,11,星期日,2074,二月,十四,甲午,马,6,丁卯,丙申,,,,,,九九第九天
2074,3,12,星期一,2074,二月,十五,甲午,马,6,丁卯,丁酉,,,植树节,,,
2074,3,13,星期二,2074,二月,十六,甲午,马,6,丁卯,戊戌,,,,,,
2074,3,14,星期三,2074,二月,十七,甲午,马,6,丁卯,己亥,,,,,,
2074,3,15,星期四,2074,二月,十八,甲午,马,6,丁卯,庚子,,,,,,
2074,3,16,星期五,2074,二月,十九,甲午,马,6,丁卯,辛丑,,,,,,
2074,3,17,星期六,2074,二月,二十,甲午,马,6,丁卯,壬寅,,,,,,
2074,3,18,星期日,2074,二月,廿一,甲午,马,6,丁卯,癸卯,,,,,,
2074,3,19,星期一,2074,二月,廿二,甲午,马,6,丁卯,甲辰,,,,,,
2074,3,20,星期二,2074,二月,廿三,甲午,马,6,丁卯,乙巳,春分,14:08:08,,,,
2074,3,21,星期三,2074,二月,廿四,甲午,马,6,丁卯,丙午,,,,,,
2074,3,22,星期四,2074,二月,廿五,甲午,马,6,丁卯,丁未,,,,,,
2074,3,23,星期五,2074,二月,廿六,甲午,马,6,丁卯,戊申,,,,,,
2074,3,24,星期六,2074,二月,廿七,甲午,马,6,丁卯,己酉,,,,,,
2074,3,25,星期日,2074,二月,廿八,甲午,马,6,丁卯,庚戌,,,,,,
2074,3,26,星期一,2074,二月,廿九,甲午,马,6,丁卯,辛亥,,,,,,
2074,3,27,星期二,2074,三月,初一,甲午,马,6,丁卯,壬子,,,,,,
2074,3,28,星期三,2074,三月,初二,甲午,马,6,丁卯,癸丑,,,,,,
2074,3,29,星期四,2074,三月,初三,甲午,马,6,丁卯,甲寅,,,,,,
2074,3,30,星期五,2074,三月,初四,甲午,马,6,丁卯,乙卯,,,,,,
2074,3,31,星期六,2074,三月,初五,甲午,马,6,丁卯,丙辰,,,,,,
2074,4,1,星期日,2074,三月,初六,甲午,马,6,丁卯,丁巳,,,愚人节,,,
2074,4,2,星期一,2074,三月,初七,甲午,马,6,丁卯,戊午,,,,,,
2074,4,3,星期二,2074,三月,初八,甲午,马,6,丁卯,己未,,,,,,
2074,4,4,星期三,2074,三月,初九,甲午,马,6,戊辰,庚申,清明,17:44:24,,,,
2074,4,5,星期四,2074,三月,初十,甲午,马,6,戊辰,辛酉,,,,,,
2074,4,6,星期五,2074,三月,十一,甲午,马,6,戊辰,壬戌,,,,,,
2074,4,7,星期六,2074,三月,十二,甲午,马,6,戊辰,癸亥,,,,,,
2074,4,8,星期日,2074,三月,十三,甲午,马,6,戊辰,甲子,,,,,,
2074,4,9,星期一,2074,三月,十四,甲午,马,6,戊辰,乙丑,,,,,,
2074,4,10,星期二,2074,三月,十五,甲午,马,6,戊辰,丙寅,,,,,,
2074,4,11,星期三,2074,三月,十六,甲午,马,6,戊辰,丁卯,,,,,,
2074,4,12,星期四,2074,三月,十七,甲午,马,6,戊辰,戊辰,,,,,,
2074,4,13,星期五,2074,三月,十八,甲午,马,6,戊辰,己巳,,,,,,
2074,4,14,星期六,2074,三月,十九,甲午,马,6,戊辰,庚午,,,,,,
2074,4,15,星期日,2074,三月,二十,甲午,马,6,戊辰,辛未,,,,,,
2074,4,16,星期一,2074,三月,廿一,甲午,马,6,戊辰,壬申,,,,,,
2074,4,17,星期二,2074,三月,廿二,甲午,马,6,戊辰,癸酉,,,,,,
2074,4,18,星期三,2074,三月,廿三,甲午,马,6,戊辰,甲戌,,,,,,
2074,4,19,星期四,2074,三月,廿四,甲午,马,6,戊辰,乙亥,,,,,,
2074,4,20,星期五,2074,三月,廿五,甲午,马,6,戊辰,丙子,谷雨,0:40:59,,,,
2074,4,21,星期六,2074,三月,廿六,甲午,马,6,戊辰,丁丑,,,,,,
2074,4,22,星期日,2074,三月,廿七,甲午,马,6,戊辰,戊寅,,,,,,
2074,4,23,星期一,2074,三月,廿八,甲午,马,6,戊辰,己卯,,,,,,
2074,4,24,星期二,2074,三月,廿九,甲午,马,6,戊辰,庚辰,,,,,,
2074,4,25,星期三,2074,三月,三十,甲午,马,6,戊辰,辛巳,,,,,,
2074,4,26,星期四,2074,四月,初一,甲午,马,6,戊辰,壬午,,,,,,
2074,4,27,星期五,2074,四月,初二,甲午,马,6,戊辰,癸未,,,,,,
2074,4,28,星期六,2074,四月,初三,甲午,马,6,戊辰,甲申,,,,,,
2074,4,29,星期日,2074,四月,初四,甲午,马,6,戊辰,乙酉,,,,,,
2074,4,30,星期一,2074,四月,初五,甲午,马,6,戊辰,丙戌,,,,,,
2074,5,1,星期二,2074,四月,初六,甲午,马,6,戊辰,丁亥,,,劳动节,,,
2074,5,2,星期三,2074,四月,初七,甲午,马,6,戊辰,戊子,,,,,,
2074,5,3,星期四,2074,四月,初八,甲午,马,6,戊辰,己丑,,,,,,
2074,5,4,星期五,2074,四月,初九,甲午,马,6,戊辰,庚寅,,,青年节,,,
2074,5,5,星期六,2074,四月,初十,甲午,马,6,己巳,辛卯,立夏,10:32:25,,,,
2074,5,6,星期日,2074,四月,十一,甲午,马,6,己巳,壬辰,,,,,,
2074,5,7,星期一,2074,四月,十二,甲午,马,6,己巳,癸巳,,,,,,
2074,5,8,星期二,2074,四月,十三,甲午,马,6,己巳,甲午,,,,,,
2074,5,9,星期三,2074,四月,十四,甲午,马,6,己巳,乙未,,,,,,
2074,5,10,星期四,2074,四月,十五,甲午,马,6,己巳,丙申,,,,,,
